aeropuerto_origen,aeropuerto_destino,distancia_entre_aeropuertos
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 33.9425, 'longitud': -118.407}",4548
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.5225, 'longitud': -103.3097}",9876
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 20.5225, 'longitud': -103.3097}",3068
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 51.47, 'longitud': -0.4543}",3061
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 51.47, 'longitud': -0.4543}",5411
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.1536, 'longitud': -100.9267}",9864
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 49.0128, 'longitud': 2.5489}",8709
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 20.9942, 'longitud': -101.4797}",9732
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 32.5362, 'longitud': -117.0203}",4546
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': -34.6037, 'longitud': -58.3711}",1005
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 21.0365, 'longitud': -86.8769}",5806
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 19.4363, 'longitud': -99.0721}",669
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 33.9425, 'longitud': -118.407}",3215
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 35.7647, 'longitud': 140.3864}",9922
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -34.6037, 'longitud': -58.3711}",1573
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': -33.9461, 'longitud': 151.1771}",4075
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': -33.9461, 'longitud': 151.1771}",8016
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 19.1433, 'longitud': -96.1733}",7242
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 22.308, 'longitud': 113.9154}",3657
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 51.47, 'longitud': -0.4543}",3032
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 40.6397, 'longitud': -73.7789}",5162
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 40.6397, 'longitud': -73.7789}",2922
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 20.5225, 'longitud': -103.3097}",5822
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 21.0365, 'longitud': -86.8769}",2586
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.4363, 'longitud': -99.0721}",6265
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 52.3105, 'longitud': 4.7683}",6975
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 21.7025, 'longitud': -102.8639}",5054
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 19.1433, 'longitud': -96.1733}",2235
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': -33.9461, 'longitud': 151.1771}",7063
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 21.7025, 'longitud': -102.8639}",9001
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 19.4363, 'longitud': -99.0721}",2141
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 33.9425, 'longitud': -118.407}",6536
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 40.6397, 'longitud': -73.7789}",3845
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 22.308, 'longitud': 113.9154}",7942
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 51.47, 'longitud': -0.4543}",2601
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 20.9942, 'longitud': -101.4797}",866
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 50.0333, 'longitud': 8.5705}",6850
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.1536, 'longitud': -100.9267}",6829
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 52.3105, 'longitud': 4.7683}",3714
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 52.3105, 'longitud': 4.7683}",3626
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 32.5362, 'longitud': -117.0203}",998
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.1536, 'longitud': -100.9267}",6661
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 20.9942, 'longitud': -101.4797}",854
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 22.308, 'longitud': 113.9154}",1362
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 49.0128, 'longitud': 2.5489}",8438
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 16.7658, 'longitud': -99.7639}",8550
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 52.3105, 'longitud': 4.7683}",7487
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 52.3105, 'longitud': 4.7683}",5839
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 35.7647, 'longitud': 140.3864}",3822
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.5225, 'longitud': -103.3097}",775
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 32.5362, 'longitud': -117.0203}",7031
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.0365, 'longitud': -86.8769}",2264
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -34.6037, 'longitud': -58.3711}",8082
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.308, 'longitud': 113.9154}",8852
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 19.1433, 'longitud': -96.1733}",4540
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 16.7658, 'longitud': -99.7639}",2563
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 49.0128, 'longitud': 2.5489}",4723
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 21.0365, 'longitud': -86.8769}",1284
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 40.6397, 'longitud': -73.7789}",9558
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': -33.9461, 'longitud': 151.1771}",5553
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 51.47, 'longitud': -0.4543}",8366
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 35.7647, 'longitud': 140.3864}",7239
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 51.47, 'longitud': -0.4543}",7718
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.7025, 'longitud': -102.8639}",4727
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 40.6397, 'longitud': -73.7789}",3981
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 19.1433, 'longitud': -96.1733}",1057
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 19.4363, 'longitud': -99.0721}",691
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",7512
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 21.7025, 'longitud': -102.8639}",3273
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 20.9942, 'longitud': -101.4797}",7576
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 25.7854, 'longitud': -100.1077}",7200
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 50.0333, 'longitud': 8.5705}",5843
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 52.3105, 'longitud': 4.7683}",9451
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 25.7854, 'longitud': -100.1077}",3231
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -33.9461, 'longitud': 151.1771}",4664
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 19.1433, 'longitud': -96.1733}",1612
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 16.7658, 'longitud': -99.7639}",9206
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 49.0128, 'longitud': 2.5489}",4258
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 51.47, 'longitud': -0.4543}",834
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 52.3105, 'longitud': 4.7683}",4400
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",9780
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",9219
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 25.7854, 'longitud': -100.1077}",6244
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 52.3105, 'longitud': 4.7683}",2385
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 50.0333, 'longitud': 8.5705}",7649
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 22.1536, 'longitud': -100.9267}",3270
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 16.7658, 'longitud': -99.7639}",7131
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 22.308, 'longitud': 113.9154}",8234
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 40.6397, 'longitud': -73.7789}",3824
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 51.47, 'longitud': -0.4543}",3573
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 50.0333, 'longitud': 8.5705}",5475
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 52.3105, 'longitud': 4.7683}",6188
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -34.6037, 'longitud': -58.3711}",961
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -33.9461, 'longitud': 151.1771}",832
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 32.5362, 'longitud': -117.0203}",8377
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.1433, 'longitud': -96.1733}",5525
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 21.0365, 'longitud': -86.8769}",7743
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 51.47, 'longitud': -0.4543}",9805
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 19.1433, 'longitud': -96.1733}",9423
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': -33.9461, 'longitud': 151.1771}",6008
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.1536, 'longitud': -100.9267}",4797
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': -33.9461, 'longitud': 151.1771}",2469
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 20.9942, 'longitud': -101.4797}",7383
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.0365, 'longitud': -86.8769}",804
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 50.0333, 'longitud': 8.5705}",9365
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 19.4363, 'longitud': -99.0721}",5789
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': -34.6037, 'longitud': -58.3711}",3306
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 52.3105, 'longitud': 4.7683}",9912
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 20.9942, 'longitud': -101.4797}",3937
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 20.9942, 'longitud': -101.4797}",8873
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 51.47, 'longitud': -0.4543}",8611
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 52.3105, 'longitud': 4.7683}",9013
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.1433, 'longitud': -96.1733}",1708
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 50.0333, 'longitud': 8.5705}",4291
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 20.9942, 'longitud': -101.4797}",3650
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 16.7658, 'longitud': -99.7639}",1095
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 19.1433, 'longitud': -96.1733}",1182
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': -33.9461, 'longitud': 151.1771}",3924
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 49.0128, 'longitud': 2.5489}",799
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.4363, 'longitud': -99.0721}",6198
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 25.7854, 'longitud': -100.1077}",3321
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 35.7647, 'longitud': 140.3864}",886
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 19.4363, 'longitud': -99.0721}",4342
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",5880
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 51.47, 'longitud': -0.4543}",9398
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 52.3105, 'longitud': 4.7683}",1165
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 16.7658, 'longitud': -99.7639}",1392
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.4363, 'longitud': -99.0721}",3258
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 49.0128, 'longitud': 2.5489}",7462
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 35.7647, 'longitud': 140.3864}",5625
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': -33.9461, 'longitud': 151.1771}",2540
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 33.9425, 'longitud': -118.407}",9242
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 32.5362, 'longitud': -117.0203}",3191
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 20.5225, 'longitud': -103.3097}",5265
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 50.0333, 'longitud': 8.5705}",8002
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 25.7854, 'longitud': -100.1077}",3293
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 51.47, 'longitud': -0.4543}",1114
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': -33.9461, 'longitud': 151.1771}",7613
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 35.7647, 'longitud': 140.3864}",2030
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 20.9942, 'longitud': -101.4797}",6623
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 49.0128, 'longitud': 2.5489}",8873
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.4363, 'longitud': -99.0721}",9973
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 52.3105, 'longitud': 4.7683}",6406
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 20.5225, 'longitud': -103.3097}",3083
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 22.308, 'longitud': 113.9154}",3918
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 33.9425, 'longitud': -118.407}",3790
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.0365, 'longitud': -86.8769}",521
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 35.7647, 'longitud': 140.3864}",5593
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 20.5225, 'longitud': -103.3097}",2999
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 49.0128, 'longitud': 2.5489}",1207
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 52.3105, 'longitud': 4.7683}",2418
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 35.7647, 'longitud': 140.3864}",1201
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': -34.6037, 'longitud': -58.3711}",6651
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 51.47, 'longitud': -0.4543}",2889
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 21.7025, 'longitud': -102.8639}",7194
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 19.1433, 'longitud': -96.1733}",1101
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 21.0365, 'longitud': -86.8769}",6473
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': -33.9461, 'longitud': 151.1771}",2838
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 20.5225, 'longitud': -103.3097}",7845
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 33.9425, 'longitud': -118.407}",9305
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.4363, 'longitud': -99.0721}",9146
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 35.7647, 'longitud': 140.3864}",2298
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 52.3105, 'longitud': 4.7683}",4521
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 20.9942, 'longitud': -101.4797}",3292
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 52.3105, 'longitud': 4.7683}",3439
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 35.7647, 'longitud': 140.3864}",9846
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.1433, 'longitud': -96.1733}",6736
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 25.7854, 'longitud': -100.1077}",5746
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.308, 'longitud': 113.9154}",9574
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 49.0128, 'longitud': 2.5489}",3737
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 21.0365, 'longitud': -86.8769}",4839
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 16.7658, 'longitud': -99.7639}",5769
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.1536, 'longitud': -100.9267}",7543
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': -34.6037, 'longitud': -58.3711}",6583
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 22.1536, 'longitud': -100.9267}",4961
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 35.7647, 'longitud': 140.3864}",1349
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -34.6037, 'longitud': -58.3711}",5358
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 22.1536, 'longitud': -100.9267}",7036
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.1536, 'longitud': -100.9267}",4949
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 32.5362, 'longitud': -117.0203}",7299
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 49.0128, 'longitud': 2.5489}",6531
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 20.5225, 'longitud': -103.3097}",3355
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 16.7658, 'longitud': -99.7639}",8647
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 21.0365, 'longitud': -86.8769}",6104
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 19.4363, 'longitud': -99.0721}",2510
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 25.7854, 'longitud': -100.1077}",1501
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 40.6397, 'longitud': -73.7789}",1782
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': -33.9461, 'longitud': 151.1771}",5726
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 52.3105, 'longitud': 4.7683}",3195
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",8484
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.4363, 'longitud': -99.0721}",3473
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 49.0128, 'longitud': 2.5489}",1646
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 25.7854, 'longitud': -100.1077}",4253
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 22.308, 'longitud': 113.9154}",2801
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 16.7658, 'longitud': -99.7639}",9730
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 32.5362, 'longitud': -117.0203}",1541
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 50.0333, 'longitud': 8.5705}",3395
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 25.7854, 'longitud': -100.1077}",8023
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 33.9425, 'longitud': -118.407}",8760
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': -34.6037, 'longitud': -58.3711}",9126
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': -34.6037, 'longitud': -58.3711}",2624
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 16.7658, 'longitud': -99.7639}",3131
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 32.5362, 'longitud': -117.0203}",3683
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 51.47, 'longitud': -0.4543}",4455
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 22.1536, 'longitud': -100.9267}",7209
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 21.7025, 'longitud': -102.8639}",864
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 21.0365, 'longitud': -86.8769}",4608
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': -33.9461, 'longitud': 151.1771}",7666
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 51.47, 'longitud': -0.4543}",6997
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 51.47, 'longitud': -0.4543}",5546
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 25.7854, 'longitud': -100.1077}",6128
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 51.47, 'longitud': -0.4543}",1758
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 21.7025, 'longitud': -102.8639}",4924
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': -34.6037, 'longitud': -58.3711}",2708
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 40.6397, 'longitud': -73.7789}",4932
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 49.0128, 'longitud': 2.5489}",8476
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': -34.6037, 'longitud': -58.3711}",7670
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 40.6397, 'longitud': -73.7789}",1931
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 25.7854, 'longitud': -100.1077}",2627
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 21.0365, 'longitud': -86.8769}",5372
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': -34.6037, 'longitud': -58.3711}",4311
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 49.0128, 'longitud': 2.5489}",9188
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 35.7647, 'longitud': 140.3864}",6458
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 32.5362, 'longitud': -117.0203}",9596
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 33.9425, 'longitud': -118.407}",6405
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",1792
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 22.1536, 'longitud': -100.9267}",5200
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': -33.9461, 'longitud': 151.1771}",2176
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 21.0365, 'longitud': -86.8769}",7008
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 33.9425, 'longitud': -118.407}",1930
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 52.3105, 'longitud': 4.7683}",3016
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 35.7647, 'longitud': 140.3864}",3977
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 35.7647, 'longitud': 140.3864}",6573
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.4363, 'longitud': -99.0721}",6021
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -34.6037, 'longitud': -58.3711}",8443
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 51.47, 'longitud': -0.4543}",2386
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.308, 'longitud': 113.9154}",898
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 19.4363, 'longitud': -99.0721}",7938
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 20.5225, 'longitud': -103.3097}",8491
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 49.0128, 'longitud': 2.5489}",7375
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 19.4363, 'longitud': -99.0721}",1693
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 40.6397, 'longitud': -73.7789}",7826
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",2295
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 19.1433, 'longitud': -96.1733}",2692
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': -34.6037, 'longitud': -58.3711}",849
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 20.5225, 'longitud': -103.3097}",4940
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 52.3105, 'longitud': 4.7683}",2744
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -34.6037, 'longitud': -58.3711}",3215
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 19.1433, 'longitud': -96.1733}",3394
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.4363, 'longitud': -99.0721}",5207
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 32.5362, 'longitud': -117.0203}",9176
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 50.0333, 'longitud': 8.5705}",8877
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 51.47, 'longitud': -0.4543}",7603
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 50.0333, 'longitud': 8.5705}",4691
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.7025, 'longitud': -102.8639}",1498
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 52.3105, 'longitud': 4.7683}",643
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 22.308, 'longitud': 113.9154}",2102
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 49.0128, 'longitud': 2.5489}",2028
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 21.7025, 'longitud': -102.8639}",1021
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 33.9425, 'longitud': -118.407}",4060
